관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면정보,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,광산구 쌍암동 666-1,광산구 첨단중앙로152번길 31-16,2,200만,360도,30일,2022,35.220583,126.844017,2023-06-30
광주광역시 사회재난과,광산구 쌍암동 666-1,광산구 첨단중앙로152번길 31-16,1,200만,360도,30일,2022,35.220583,126.844017,2023-06-30
광주광역시 사회재난과,광산구 쌍암동 676-1,광산구 첨단중앙로182번길 46,1,200만,360도,30일,2010,35.2220082,126.8461482,2023-06-30
광주광역시 사회재난과,광산구 쌍암동 676-1,광산구 첨단중앙로182번길 46,1,200만,360도,30일,2021,35.2220082,126.8461482,2023-06-30
광주광역시 사회재난과,광산구 쌍암동 694-3,광산구 첨단강변로99번길 22,2,200만,360도,30일,2013,35.21736358,126.8525967,2023-06-30
광주광역시 사회재난과,광산구 쌍암동 694-3,광산구 첨단강변로99번길 22,1,200만,360도,30일,2018,35.21736358,126.8525967,2023-06-30
광주광역시 사회재난과,광산구 안청동 275-29,,1,200만,360도,30일,2013,35.21666459,126.8049399,2023-06-30
광주광역시 사회재난과,광산구 안청동 275-29,,1,200만,360도,30일,2018,35.21666459,126.8049399,2023-06-30
광주광역시 사회재난과,광산구 안청동 275-29,,1,200만,360도,30일,2022,35.21666459,126.8049399,2023-06-30
광주광역시 사회재난과,광산구 안청동 731-4,광산구 하남산단9번로 153,1,200만,360도,30일,2013,35.213511,126.813129,2023-06-30
광주광역시 사회재난과,광산구 안청동 731-4,광산구 하남산단9번로 153,1,200만,360도,30일,2018,35.213511,126.813129,2023-06-30
광주광역시 사회재난과,광산구 안청동 731-4,광산구 하남산단9번로 153,1,200만,360도,30일,2019,35.213511,126.813129,2023-06-30
광주광역시 사회재난과,광산구 오선동 270-81,광산구 하남산단6번로 79,2,200만,360도,30일,2010,35.20252164,126.804121,2023-06-30
광주광역시 사회재난과,광산구 오선동 270-84 ,광산구 하남산단6번로 5,1,200만,360도,30일,2013,35.20249593,126.7954048,2023-06-30
